Id,Family,Name,ProductCode,product_series_name__c,SBCF_Product_Family_Code__c,Sub.Product
01t5x00000KDRtIAAX,Cloudgen Firewall,Barracuda USB Modem M40,CGF-M40-MSP,,BNG,CGF Other
01t5x00000KDRxcAAH,Cloudgen Firewall,Int'l Barracuda USB Modem M40,CGF-M40-MSPI,,BNG,CGF Other
01t5x00000KDRtJAAX,Cloudgen Firewall,Barracuda USB Modem M41,CGF-M41A-BS-MSP,,BNG,CGF Other
01t5x00000KDRxxAAH,Cloudgen Firewall,Int'l Barracuda USB Modem M41,CGF-M41A-BS-MSPI,,BNG,CGF Other
01t5x00000KDRuRAAX,Cloudgen Firewall,Barracuda USB Modem M41 Instant Replacement,CGF-M41-IR-MSP,,BNG,CGF Other
01t5x00000KDRzhAAH,Cloudgen Firewall,Int'l Barracuda USB Modem M41 Instant Replacement,CGF-M41-IR-MSPI,,BNG,CGF Other
01t5x00000KDRtKAAX,Cloudgen Firewall,Barracuda USB Modem M41,CGF-M41-MSP,,BNG,CGF Other
01t5x00000KDRxyAAH,Cloudgen Firewall,Int'l Barracuda USB Modem M41,CGF-M41-MSPI,,BNG,CGF Other
01tf2000008C7GQAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Marketplace,BNGCAW000p,CAW,BNG,CGF Public Cloud
01tf2000008C7GSAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Account,BNGCAW001a,CAW,BNG,CGF Public Cloud
01tf2000008C7GTAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Advanced Threat Protection Subscription 1 Month,BNGCAW001a-a,CAW,BNG,CGF Public Cloud
01tf2000008C5gzAAC,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Demo Conversion,BNGCAW001a-dc,CAW,BNG,CGF Public Cloud
01tf2000008C7GUAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Malware Protection Subscription 1 Month,BNGCAW001a-m,CAW,BNG,CGF Public Cloud
01tf2000008C7GVAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Premium Support Subscription 1 Month,BNGCAW001a-p,CAW,BNG,CGF Public Cloud
01tf2000008C7GWAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Virtual Subscription 1 Month,BNGCAW001a-v,CAW,BNG,CGF Public Cloud
01tf2000008C7GXAA0,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 1 Advanced Remote Access Subscription 1 Month,BNGCAW001a-vp,CAW,BNG,CGF Public Cloud
01tf2000008C7GYAA0,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 1 Account,BNGCAW001p,CAW,BNG,CGF Public Cloud
01tf2000008C7GZAA0,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 1 Advanced Threat Protection Subscription 1 Month,BNGCAW001p-a,CAW,BNG,CGF Public Cloud
01tf2000008C7GaAAK,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 1 Malware Protection Subscription 1 Month,BNGCAW001p-m,CAW,BNG,CGF Public Cloud
01tf2000008C7GbAAK,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 1 Premium Support Subscription 1 Month,BNGCAW001p-p,CAW,BNG,CGF Public Cloud
01tf2000008C7GcAAK,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 1 Virtual Subscription 1 Month,BNGCAW001p-v,CAW,BNG,CGF Public Cloud
01tf2000008C6m8AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 1 Advanced Remote Access Subscription 1 Month,BNGCAW001p-vp,CAW,BNG,CGF Public Cloud
01tf2000008C6m9AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 1,BNGCAW001sa,CAW,BNG,CGF Public Cloud
01tf2000008C6mAAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 1 MSP,BNGCAW001sa-b,CAW,BNG,CGF Public Cloud
01tf2000008C5h0AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 1 Demo Conversion,BNGCAW001sa-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xSAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 1 Energize Updates Subscription MSP,BNGCAW001sa-t1m,CAW,BNG,CGF Public Cloud
01tf2000008C6mPAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Account,BNGCAW002a,CAW,BNG,CGF Public Cloud
01tf2000008C6mQAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Advanced Threat Protection Subscription 1 Month,BNGCAW002a-a,CAW,BNG,CGF Public Cloud
01tf2000008C5h3AAC,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Demo Conversion,BNGCAW002a-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xTAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Insights for Amazon Web Services Level 2 1 Month,BNGCAW002a-fi,CAW,BNG,CGF Public Cloud
01tf2000008C6mRAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Malware Protection Subscription 1 Month,BNGCAW002a-m,CAW,BNG,CGF Public Cloud
01tf2000008C6mSAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Premium Support Subscription 1 Month,BNGCAW002a-p,CAW,BNG,CGF Public Cloud
01tf2000008C6mTAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Virtual Subscription 1 Month,BNGCAW002a-v,CAW,BNG,CGF Public Cloud
01tf2000008C6mUAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 2 Advanced Remote Access Subscription 1 Month,BNGCAW002a-vp,CAW,BNG,CGF Public Cloud
01tf2000008C6mVAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Account,BNGCAW002p,CAW,BNG,CGF Public Cloud
01tf2000008C6mWAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Advanced Threat Protection Subscription 1 Month,BNGCAW002p-a,CAW,BNG,CGF Public Cloud
01tf2000008C6mXAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Malware Protection Subscription 1 Month,BNGCAW002p-m,CAW,BNG,CGF Public Cloud
01tf2000008C6mYAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Premium Support Subscription 1 Month,BNGCAW002p-p,CAW,BNG,CGF Public Cloud
01tf2000009IBJlAAO,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Base License Capacity,BNGCAW002pu,null,BNG,CGF Public Cloud
01tf2000008C6mZAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Virtual Subscription 1 Month,BNGCAW002p-v,CAW,BNG,CGF Public Cloud
01tf2000008C6maAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 2 Advanced Remote Access Subscription 1 Month,BNGCAW002p-vp,CAW,BNG,CGF Public Cloud
01tf2000008C6oBAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 2 MSP,BNGCAW002sa,CAW,BNG,CGF Public Cloud
01tf2000008C6oCAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 2 MSP,BNGCAW002sa-b,CAW,BNG,CGF Public Cloud
01tf2000008C5h4AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 2 Demo Conversion,BNGCAW002sa-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xUAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 2 Energize Updates Subscription MSP,BNGCAW002sa-t1m,CAW,BNG,CGF Public Cloud
01tf2000008C6oRAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Account,BNGCAW004a,CAW,BNG,CGF Public Cloud
